recordId	period	category	bucket	action	confidence	note	heading	headingHeb	kimaId	kimaRom	kimaHeb	movedKm	nliCoords	kimaCoords	n034	src034	decision	decisionNote	nliWd	kimaWd	sameWd	featureType	featureEvidence	extentKm	nliWdLabel	kimaWdLabel	nliWdCoord	kimaWdCoord	dNliWd_Nli	dNliWd_Kima	dKimaWd_Kima	dKimaWd_Nli	nliWdNameOk	kimaWdNameOk	nliWdSrc	kimaWdSrc	fixedNliCoords	fix034	bboxHalfDiagKm
987007562351605171	20260727-20260727	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($f 039.491 -> 039.0491); corrected centre is 3.0 km from Kima	Játiva (Spain)	שטיבה (ספרד)	14291	Játiva (Spain)	שטיבה (ספרד)	27.5	[39.23632, -0.52181]	[38.9887291, -0.5191539]	1	gooearth			Q738013	Q738013	True	point	Q738013 P31=municipality of Spain / municipality of the Valencian Community	9.9	Xàtiva	Xàtiva	[38.9887291, -0.5191539]	[38.9887291, -0.5191539]	27.5	0.0	0.0	27.5	True	True	024	WD	[39.01537, -0.52181]	$f 039.491 -> 039.0491	28.4
987007567552405171	20260728-20260803	location-move	homonym	apply-new	medium	"Kima linked to a same-named entity elsewhere: Kima Q734074 ""Ganges"" is 8104 km from NLI's self-consistent Q5089 ""Ganges"""	Ganges (France)	גנגס (צרפת)	76647	Ganges (France)	גנגס (צרפת)	8104.2	[22.0833, 90.8333]	[43.934166666667, 3.7083333333333]	1	gooearth			Q5089	Q734074	False	extended	Q5089 P31=river / sacred river; Q734074 P31=commune of France; move 8104 km exceeds extent	2525.0	Ganges	Ganges	[22, 90.9]	[43.934166666667, 3.7083333333333]	11.5	8115.5	0.0	8104.2	True	True	024	WD			0.0
987007561902705171	20260728-20260803	location-move	nli-coords-wrong	keep-existing+report	high	Wikidata Q186254 is 0 km from Kima, 34 km from NLI	Khaskovo (Bulgaria)	חאסקובו (בולגריה)	9921	Khaskovo (Bulgaria)	חאסקובו (בולגריה)	34.3	[41.76302, 25.89925]	[41.93465, 25.55556]	1	gooearth			Q186254	Q186254	True	point	Q186254 P31=municipality seat / oblast seat / city in Bulgaria / average city; NLI 034 box half-diagonal 75 km	75.3	Haskovo	Haskovo	[41.93465, 25.55556]	[41.93465, 25.55556]	34.3	0.0	0.0	34.3	True	True	024	WD			75.3
987007564798905171	20260728-20260803	location-move	nli-coords-wrong	keep-existing+report	high	Wikidata Q60817046 is 0 km from Kima, 117 km from NLI	Hāora (India)	האורה (הודו)	84985	Hāora (India)	האורה (הודו)	117.3	[22.6214, 88.30433]	[23.38642, 87.51565]	1	gooearth			Q60817046	Q60817046	True	point	Q60817046 P31=village in India		Haora	Haora	[23.38642, 87.51565]	[23.38642, 87.51565]	117.3	0.0	0.0	117.3	True	True	024	WD			0.0
987007560015905171	20260728-20260803	location-move	extended-feature	apply-new	high	two points on one Q134417 P31=province of Iran (extent ~193 km)	Markazī (Iran)	מרכזי (איראן)	15112	Markazī (Iran)	מרכזי (איראן)	141.2	[35.16667, 51.0]	[34.33333, 49.83333]	1	geonames			Q134417	Q134417	True	extended	Q134417 P31=province of Iran	192.6	Markazi Province	Markazi Province	[34.618611111111115, 49.94416666666667]	[34.618611111111115, 49.94416666666667]	114.0	33.3	33.3	114.0	True	True	024	geonames:124763			0.0
987007564736505171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($d 018.895120 -> 018.0895120); corrected centre is 3.5 km from Kima	Dombóvár (Hungary)	דומבובאר (הונגריה)	14278	Dombóvár (Hungary)	דומבובאר (הונגריה)	33.2	[46.40149, 18.56217]	[46.376888, 18.131007]	1	gooearth			Q633789	Q633789	True	point	Q633789 P31=town in Hungary	10.0	Dombóvár	Dombóvár	[46.376888, 18.131007]	[46.376888, 18.131007]	33.2	0.0	0.0	33.2	True	True	024	WD	[46.40149, 18.15937]	$d 018.895120 -> 018.0895120	26.6
987007564736405171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($f 048.414920 -> 048.0414920); corrected centre is 1.3 km from Kima	Fehérgyarmat (Hungary)	פהרג'רמט (הונגריה)	14280	Fehérgyarmat (Hungary)	פהרג'רמט (הונגריה)	22.1	[48.18332, 22.51599]	[47.985, 22.516944444444]	1	gooearth			Q745657	Q745657	True	point	Q745657 P31=town in Hungary	8.2	Fehérgyarmat	Fehérgyarmat	[47.985, 22.516944444444]	[47.985, 22.516944444444]	22.1	0.0	0.0	22.1	True	True	024	WD	[47.9966, 22.51599]	$f 048.414920 -> 048.0414920	26.1
987007564343005171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($d 013.527882 -> 013.0527882, $e 013.853987 -> 013.0853987); corrected centre is 0.6 km from Kima	Camerino (Italy)	קמרינו (איטליה)	7761	Camerino (Italy)	קמרינו (איטליה)	50.7	[43.13831, 13.69093]	[43.133333333333, 13.066666666667]	1	gooearth			Q73489	Q73489	True	point	Q73489 P31=comune of Italy	12.9	Camerino	Camerino	[43.133333333333, 13.066666666667]	[43.133333333333, 13.066666666667]	50.7	0.0	0.0	50.7	True	True	024	WD	[43.13831, 13.06909]	$d 013.527882 -> 013.0527882, $e 013.853987 -> 013.0853987	13.3
987007560069505171	20260728-20260803	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($g 051.836979 -> 051.0836979); corrected centre is 1.3 km from Kima	Fritzlar (Germany)	פריצלאר (גרמניה)	14492	Fritzlar (Germany)	פריצלאר (גרמניה)	42.9	[51.51875, 9.278]	[51.13333333333333, 9.266666666666667]	1	gooearth			Q492503	Q492503	True	point	Q492503 P31=town / urban municipality in Germany	10.6	Fritzlar	Fritzlar	[51.13333333333333, 9.266666666666667]	[51.13333333333333, 9.266666666666667]	42.9	0.0	0.0	42.9	True	True	024	WD	[51.14211, 9.278]	$g 051.836979 -> 051.0836979	36.0
987007567354305171	20260728-20260803	location-move	nli-coords-wrong	keep-existing+report	medium	Wikidata Q556944 (NLI only) is 0 km from Kima, 29 km from NLI	Krobia (Leszno, Poland)	קרוביה (פולין)	16939	Krobia (Leszno, Poland)	קרוביה (פולין)	29.1	[51.84406, 16.5756]	[51.775, 16.983333333333334]	1	gooearth			Q556944		False	point	Q556944 P31=city	3.0	Krobia		[51.775, 16.983333333333334]		29.1	0.0			True		024				5.3
