recordId	category	verdict	heading	dupKey	incomingStatus	incomingHeb	incomingCoords	kimaId	kimaMazal	kimaMazalStatus	kimaHeb	kimaCoords	kimaVariantCount	distanceKm	sharedNames	alsoInKimaId	earlierHeadings	nameMismatch	verdictNote
987007533095205171	dup-variants	kima-unresolved	קרוז אלטה (ריו גרנדה דו סול, ברזיל)	קרוז אלטה (ריו גרנדה דו סול, ברזיל), Vila do Divino Espírito Santo da Cruz Alta	live	קרוז אלטה (ריו גרנדה דו סול, ברזיל)	-28.63861, -53.60639						0	0.0	Cruz Alta (Rio Grande do Sul, Brazil) | Vila do Divino Espírito Santo da Cruz Alta | קרוז אלטה (ריו גרנדה דו סול, ברזיל) | كروز ألتا (ريو غراندي دو سول، البرازيل)	17457		heb: kima=קרוז אלטה (ברזיל) nli=קרוז אלטה (ריו גרנדה דו סול, ברזיל)	לא אותר מקום בכימה עבור הכותרת
987007536282505171	dup-variants	same-id	ירדן, נהר	ירדן, נהר, ash-Sharīʻah	live	ירדן, נהר	33.18667, 35.61917	2680	987007536282505171	live	ירדן, נהר	33.186666666667, 35.619166666667	21	0.0	Aulon | Jordan River | Nahal Yarden | Nahr al-Urdunn | Yarden River | ash-Sharīʻah | ha-Yarden | ha-Yarden, Nehar | ירדן, נהר | נהר הירדן | نهر الأردن				כימה כבר מצביעה על אותה רשומה
987007540196105171	dup-variants	same-id	אולימפיאה (ברזיל)	אולימפיאה (ברזיל), Prefeitura Municipal de Olímpia	live	אולימפיאה (ברזיל)	-20.73722, -48.91472	18849	987007540196105171	live	אולימפיאה (ברזיל)	-20.736944444444, -48.915	3	0.0	Olímpia (Brazil) | Prefeitura Municipal de Olímpia | אולימפיאה (ברזיל) | أوليمبيا (البرازيل)				כימה כבר מצביעה על אותה רשומה
987007541874905171	dup-variants	same-id	נחל שורק (ישראל)	נחל שורק (ישראל), Wadi al-Ṣarār	live	נחל שורק (ישראל)	31.84528, 34.95984	3346	987007541874905171	live	נחל שורק (ישראל)	31.883388, 35.18765	13	21.9	Nahal Sorek | Nahal Sorek (Israel) | Nahal Soreq (Israel) | Naḥal Soreq | Naḥal Soreq (Israel) | Sorec River | Sorec River (Israel) | Sorek (Nahal) | Sorek River (Israel) | Soreq River | Soreq River (Israel) | Wadi Rubin | Wadi al-Ṣarār | נחל שורק (ישראל) | وادي سوريك (إسرائيل) | Ṣarār River | Ṣarār River (Israel)				כימה כבר מצביעה על אותה רשומה
987007553079405171	dup-variants	same-id	טיפררי (אירלנד : מחוז)	טיפררי (אירלנד : מחוז), Tiobraid Árann	live	טיפררי (אירלנד : מחוז)	52.66667, -7.83333	13943	987007553079405171	live	טיפררי (אירלנד : מחוז)		3		Tiobraid Árann | Tipperary (County) | Tipperary (Ireland : County) | Tipperary, Ire. (County) | טיפררי (אירלנד : מחוז) | تيبيراري (أيرلندا : مقاطعة)				כימה כבר מצביעה על אותה רשומה
987007540321405171	dup-variants	same-id	צובה (ישראל)	צובה (ישראל), Ḳibuts Palmaḥ-Tsovah	live	צובה (ישראל)	31.78289, 35.11947	429	987007540321405171	live	צובה (ישראל)	31.7843, 35.119597222222	18	0.2	Belmont Castle Site (Israel) | Palmah Zova (Israel) | Tsova (Israel) | Tsovah (Israel) | Tzova (Israel) | Tzuba (Israel) | Zova (Israel) | Zuba (Israel) | פלמ"ח צובה (ישראל) | צובה (ישראל) | קבוץ פלמ"ח צובה (ישראל) | קיבוץ צובה (ישראל) | تسوبا (إسرائيل) | Ḳibuts Palmaḥ-Tsovah				כימה כבר מצביעה על אותה רשומה
987007557678505171	dup-variants	same-id	מרכז אמריקה (רפובליקה פדרלית : 1823-1840)	מרכז אמריקה (רפובליקה פדרלית : 1823-1840), Confederación de Centro América	live	מרכז אמריקה (רפובליקה פדרלית : 1823-1840)	14.61667, -90.51667	13332	987007557678505171	live	מרכז אמריקה (רפובליקה פדרלית : 1823-1840)	14.61666667, -90.51666667	8	0.0	Central America (Confederación de Centro América, 1823-1840) | Central America (Federal Republic : 1823-1840) | Central American Federation | Confederación de Centro América | Confederación de la América Central | Federal Republic of Central America (1823-1840) | Provincias Unidas del Centro de América | República Federal de Centroamérica (1823-1840) | מרכז אמריקה (רפובליקה פדרלית : 1823-1840) | أمريكا الوسطى (الجمهورية الفيدرالية : 1823-1840)				כימה כבר מצביעה על אותה רשומה
987007564629605171	dup-variants	same-id	וירצבורג (נסיכות כנסייתית)	וירצבורג (נסיכות כנסייתית), Bistum Würzburg	live	וירצבורג (נסיכות כנסייתית)	49.79341, 9.93218	14212	987007564629605171	live	וירצבורג (נסיכות כנסייתית)	49.793409, 9.932175	4	0.0	Bistum Würzburg | Hochstift Würzburg | Würzburg (Ecclesiastical principality) | וירצבורג (נסיכות כנסייתית) | فورتسبورغ (الإمارة الكنسية)				כימה כבר מצביעה על אותה רשומה
987007557670205171	dup-variants	kima-unresolved	מאסינה (אימפריה)	מאסינה (אימפריה), Caliphate of Hamdullāhi	live	מאסינה (אימפריה)	45.47069, 10.32035						0	0.0	Caliphate of Hamdullāhi | Empire peul du Macina | Hamdullāhi Caliphate | Maasina | Macina | Macina (Empire) | Masina | Peul Empire of Macina | מאסינה (אימפריה) | ماسينا (إمبراطورية)	14959		heb: kima=מאסינה nli=מאסינה (אימפריה) | rom: kima=Macina nli=Macina (Empire)	לא אותר מקום בכימה עבור הכותרת
987007557242105171	dup-variants	same-id	אלמריה (ספרד)	אלמריה (ספרד), Almería	live	אלמריה (ספרד)	36.83806, -2.45972	8740	987007557242105171	live	אלמריה (ספרד)	36.84, -2.4675000000000002	6	0.7	Almería | Almería (Spain) | Marīyah (Spain) | אלמריאה (ספרד) | אלמריה (ספרד) | ألميريا (إسبانيا)				כימה כבר מצביעה על אותה רשומה
