bucket	action	confidence	note	suggestA	suggestB	bothInKima	kimaHolderOfA	recordId	category	verdict	heading	dupKey	aRoman	aHeb	aWd	aWdLabel	aWdHe	aP31	aCoords	bId	bRoman	bHeb	bWd	bWdLabel	bP31	bCoords	bStatus	kimaId	kimaHeb	kimaRom	kimaWd	distanceKm	earlierHeadings
same-entity	report-nli-duplicate	high	"both records carry Wikidata Q576339 ""Albaicín"": ""El Albaicín (Granada, Spain)"" / ""Albaicín (Granada, Spain)"""			False		987007473743205171	dup-places-diff	both-live	אלבאיסין (גרנדה, ספרד)	אלבאיסין (גרנדה, ספרד)	El Albaicín (Granada, Spain)	אלבאיסין (גרנדה, ספרד)	Q576339	Albaicín	אלבאיסין	neighborhood / neighborhood	[37.1817, -3.5983]	987007542743705171	Albaicín (Granada, Spain)	אלבאיסין (גרנדה, ספרד)	Q576339	Albaicín	neighborhood / neighborhood	[37.1817, -3.5983]	live	19549	אלבאיסין (גרנדה, ספרד)	Albaicín (Granada, Spain)	Q576339	0.0	
same-entity	report-nli-duplicate	high	"both records carry Wikidata Q2916738 ""Greek Colony"": ""Moshavah ha-Yevanit (Jerusalem, Israel)"" / ""Greek Colony (Jerusalem, Israel)"""			False		987007471773005171	dup-places-diff	both-live	מושבה היוונית (ירושלים, ישראל)	מושבה היוונית (ירושלים, ישראל)	Moshavah ha-Yevanit (Jerusalem, Israel)	מושבה היוונית (ירושלים, ישראל)	Q2916738	Greek Colony	המושבה היוונית	neighborhood	[31.76218, 35.216]	987007477335005171	Greek Colony (Jerusalem, Israel)	מושבה היוונית (ירושלים, ישראל)	Q2916738	Greek Colony	neighborhood	[31.76218, 35.216]	live		מושבה היוונית (ירושלים, ישראל)				
distinct-homonym	disambiguate-hebrew-region	medium	"same name, different places None km apart: ""Hochstätten (Germany)"" (Hochstätten) / ""Hochstetten (Germany)"" (None)"			False		987011060395805171	dup-places-diff	both-live	הוכשטטן (גרמניה)	הוכשטטן (גרמניה)	Hochstätten (Germany)	הוכשטטן (גרמניה)	Q561805	Hochstätten		municipality without town privileges in Germany	[49.76583, 7.8325]	987007467698905171	Hochstetten (Germany)	הוכשטטן (גרמניה)				[49.13333, 8.4]	live	20088	הוכשטטן (גרמניה)	Hochstetten (Germany)			
unresolved	research	low	no Kima place owns the heading or holds the id					987013405241405171	dup-places	kima-unresolved	פלאנס (ספרד)	פלאנס (ספרד)	Planes (Spain)	פלאנס (ספרד)					[38.78333, -0.33333]														
unresolved	research	low	no Kima place owns the heading or holds the id					987007533335605171	dup-places	kima-unresolved	מחוז חרקיב (אוקראינה)	מחוז חרקיב (אוקראינה)	Kharkivsʹkyĭ raĭon (Ukraine)	מחוז חרקיב (אוקראינה)	Q2631924	Kharkiv Raion		former raion of Ukraine	[49.9925, 36.23111]														Kharkivsʹka okruha (Ukraine)
heading-drift	update-kima-heading	high	"Kima 18104 already holds this id under ""ברטעה""; NLI now says ""ברטעה (ישראל ויהודה ושומרון)"" — no second record involved"					987007538140305171	dup-variants	kima-unresolved	ברטעה (ישראל ויהודה ושומרון)	ברטעה (ישראל ויהודה ושומרון), Barṭaʻa	Barṭaʻa (Israel and West Bank)	ברטעה (ישראל ויהודה ושומרון)					[32.46667, 35.08333]									18104	ברטעה	Barṭaʻa			
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90677 ""מינסק (בלארוס:אובלסט)"" and B as 90598 ""מחוז מינסק (בלארוס)""; NLI's flat Hebrew ""מחוז מינסק (בלארוס)"" only needs to stay a variant of A"	מינסק (בלארוס:אובלסט)	מחוז מינסק (בלארוס)	True	"90677 ""מינסק (בלארוס:אובלסט)"""	987007562028305171	dup-places-diff	both-live	מחוז מינסק (בלארוס)	מחוז מינסק (בלארוס)	Minskai︠a︡ voblastsʹ (Belarus)	מחוז מינסק (בלארוס)					[54.0, 28.0]	987007531128305171	Minski rai︠o︡n (Belarus)	מחוז מינסק (בלארוס)	Q1636191	Minsk District	district of Belarus	[53.9, 27.56667]	live	90598	מחוז מינסק (בלארוס)	Minski rai︠o︡n (Belarus)		30.5	
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90645 ""פיוטרקוב (פולין : פרובינציה)"" and B as 27136 ""פיוטרקוב (פולין : מחוז)""; NLI's flat Hebrew ""פיוטרקוב (פולין : מחוז)"" only needs to stay a variant of A"	פיוטרקוב (פולין : פרובינציה)	פיוטרקוב (פולין : מחוז)	True	"90645 ""פיוטרקוב (פולין : פרובינציה)"""	987007564837905171	dup-places-diff	both-live	פיוטרקוב (פולין : מחוז)	פיוטרקוב (פולין : מחוז)	Piotrków Trybunalski (Poland : Voivodeship)	פיוטרקוב (פולין : מחוז)					[51.4, 19.68333]	987007397508205171	Piotrków Trybunalski (Poland : Powiat)	פיוטרקוב (פולין : מחוז)	Q1144105	Piotrków County	powiat	[51.37816, 19.7396]	live	27136	פיוטרקוב (פולין : מחוז)	Piotrków Trybunalski (Poland : Powiat)		0.0	
heading-drift	update-kima-heading	high	"Kima 6415 already holds this id under ""סוז דיצ׳ו (סין)""; NLI now says ""סוז דיקו (סין)"" — no second record involved"					987007550352805171	dup-variants	kima-unresolved	סוז דיקו (סין)	סוז דיקו (סין), Su-chou ti chʻü hsing cheng kung shu	Suzhou Diqu (China)	סוז דיקו (סין)					[31.3, 120.61667]									6415	סוז דיצ׳ו (סין)	Suzhou Diqu (China)			Suzhou Zhuanqu (China)
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90676 ""אאכן (גרמניה : מחוז שלטוני)"" and B as 90704 ""אאכן (גרמניה : מחוז)""; NLI's flat Hebrew ""אאכן (גרמניה : מחוז)"" only needs to stay a variant of A"	אאכן (גרמניה : מחוז שלטוני)	אאכן (גרמניה : מחוז)	True	"90676 ""אאכן (גרמניה : מחוז שלטוני)"""	987007535451305171	dup-places-diff	both-live	אאכן (גרמניה : מחוז)	אאכן (גרמניה : מחוז)	Aachen (Germany : Regierungsbezirk)	אאכן (גרמניה : מחוז)	Q896929	Aachen Government Region		government region of Prussia / government region of North Rhine-Westphalia	[50.83333, 6.33333]	987007564570905171	Aachen (Germany : Landkreis)	אאכן (גרמניה : מחוז)	Q7379734	Aachen	district of Germany	[50.75, 6.25]	live	90704	אאכן (גרמניה : מחוז)	Aachen (Germany : Landkreis)		11.0	
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90687 ""קושאלין (פולין : פרובינציה)"" and B as 90685 ""קושאלין (פולין : מחוז)""; NLI's flat Hebrew ""קושאלין (פולין : מחוז)"" only needs to stay a variant of A"	קושאלין (פולין : פרובינציה)	קושאלין (פולין : מחוז)	True	"90687 ""קושאלין (פולין : פרובינציה)"""	987007552845305171	dup-places-diff	both-live	קושאלין (פולין : מחוז)	קושאלין (פולין : מחוז)	Koszalin (Poland : Voivodeship)	קושאלין (פולין : מחוז)					[54.0, 16.0]	987007535822505171	Koszalin (Poland : Powiat)	קושאלין (פולין : מחוז)	Q302851	Koszalin County	powiat	[54.18333, 16.18333]	live	90685	קושאלין (פולין : מחוז)	Koszalin (Poland : Powiat)		23.6	
pseudo-disambiguated-in-kima	disambiguate-hebrew-tier	high	"Kima holds both (A=83100 ""וימאר (גרמניה : מחוז)"", B=15997 ""ויימאר (גרמניה : מחוז)"") but the headings differ only in spelling/punctuation — still ambiguous"	וימאר (גרמניה : מחוז)	ויימאר (גרמניה : מחוז)	True	"83100 ""וימאר (גרמניה : מחוז)"""	987007557595805171	dup-places-diff	both-live	ויימאר (גרמניה : מחוז)	ויימאר (גרמניה : מחוז)	Weimar (Germany : Landkreis)	ויימאר (גרמניה : מחוז)	Q1787565	Kreis Weimar-Land		subdistrict of the German Democratic Republic / district of Germany	[50.91667, 11.25]	987007557599505171	Weimar (Germany : Stadtkreis)	ויימאר (גרמניה : מחוז)				[50.98333, 11.31667]	live	15997	ויימאר (גרמניה : מחוז)	Weimar (Germany : Stadtkreis)			
distinct-homonym	disambiguate-hebrew-spelling	high	"different places with one Hebrew form: ""Ehningen (Germany)"" (Q314758 Ehningen) / ""Eningen unter Achalm (Germany)"" (Q81423 Eningen unter Achalm), 31.1 km"			False		987007494092005171	dup-places-diff	both-live	אנינגן (גרמניה)	אנינגן (גרמניה)	Ehningen (Germany)	אנינגן (גרמניה)	Q314758	Ehningen		municipality without town privileges in Germany	[48.66667, 8.93333]	987007557723505171	Eningen unter Achalm (Germany)	אנינגן (גרמניה)	Q81423	Eningen unter Achalm	municipality without town privileges in Germany	[48.48306, 9.25222]	live	69527	אנינגן (גרמניה)	Eningen unter Achalm (Germany)	Q81423	31.1	
distinct-homonym	disambiguate-hebrew-region	medium	"same name, different places 552.8 km apart: ""Cherniïv (Ukraine)"" (None) / ""Chernihiv (Ukraine)"" (None)"			False		987007545176905171	dup-places-diff	both-live	צ'רנייב (אוקראינה)	צ'רנייב (אוקראינה)	Cherniïv (Ukraine)	צ'רנייב (אוקראינה)					[48.85, 24.71667]	987007566754005171	Chernihiv (Ukraine)	צ'רנייב (אוקראינה)				[51.49578, 31.29054]	live	9159	צ'רנייב (אוקראינה)	Chernihiv (Ukraine)		552.8	
tier-pair	disambiguate-hebrew-tier	medium	"A ""Cottbus (Germany : Landkreis)"" [district of Prussia] vs B ""Cottbus (Germany : Bezirk)"" [מחוז]"	קוטבוס : נפה	קוטבוס : מחוז	False		987007566933405171	dup-places-diff	both-live	קוטבוס (גרמניה : מחוז)	קוטבוס (גרמניה : מחוז)	Cottbus (Germany : Landkreis)	קוטבוס (גרמניה : מחוז)	Q1803116	Landkreis Cottbus		district of Prussia	[51.75, 14.3]	987007559894905171	Cottbus (Germany : Bezirk)	קוטבוס (גרמניה : מחוז)				[51.75, 14.0]	live	15712	קוטבוס (גרמניה : מחוז)	Cottbus (Germany : Bezirk)			
tier-pair	disambiguate-hebrew-tier	medium	"A ""Bydgoszcz (Poland : Powiat)"" [נפה] vs B ""Bydgoszcz (Poland : Voivodeship)"" [voivodeship of Poland]"	בידגושץ' : נפה	בידגושץ' : מחוז	False		987007550246505171	dup-places-diff	both-live	בידגושץ' (פולין : מחוז)	בידגושץ' (פולין : מחוז)	Bydgoszcz (Poland : Powiat)	בידגושץ' (פולין : מחוז)					[53.25, 17.9]	987007552874605171	Bydgoszcz (Poland : Voivodeship)	בידגושץ' (פולין : מחוז)	Q1935608	Bydgoszcz Voivodeship	voivodeship of Poland	[53.1252, 18.0079]	live	9307	בידגושץ' (פולין : מחוז)	Bydgoszcz (Poland : Voivodeship)		15.6	
tier-pair	disambiguate-hebrew-tier	medium	"A ""Potsdam (Germany : Stadtkreis)"" [עיר] vs B ""Potsdam (Germany : Bezirk)"" [district of the German Democratic Republic]"	פוטסדם : עיר	פוטסדם : מחוז	False		987007557599905171	dup-places-diff	both-live	פוטסדם (גרמניה : מחוז)	פוטסדם (גרמניה : מחוז)	Potsdam (Germany : Stadtkreis)	פוטסדם (גרמניה : מחוז)					[52.4, 13.05]	987007561805305171	Potsdam (Germany : Bezirk)	פוטסדם (גרמניה : מחוז)	Q48094	Potsdam District	district of the German Democratic Republic		live	87539	פוטסדם (גרמניה : מחוז)	Potsdam (Germany : Bezirk)	Q48094	11.6	
heading-drift	update-kima-heading	high	"Kima 19602 already holds this id under ""זירעין""; NLI now says ""זירעין (ישראל)"" — no second record involved"					987007542606405171	dup-variants	kima-unresolved	זירעין (ישראל)	זירעין (ישראל), Zirʻīn	Zirʻin (Israel)	זירעין (ישראל)	Q2899965	Zir'in	זירעין	village / depopulated Palestinian village / human settlement	[32.5575, 35.3278]									19602	זירעין	Zirʻīn	Q2899965	0.0	
kima-id-suppressed	repoint-kima-to-incoming	high	"Kima 89023 -> 987007475207805171 is suppressed in NLI; successor is 987007553952905171 ""Betar (Extinct city) (West Bank)"""			True	"4239 ""ביתר (עיר קדומה)"""	987007553952905171	dup-places-diff	kima-id-suppressed	ביתר (עיר קדומה) (יהודה ושומרון)	ביתר (עיר קדומה) (יהודה ושומרון)	Betar (Extinct city) (West Bank)	ביתר (עיר קדומה) (יהודה ושומרון)	Q637954	Betar	ביתר	archaeological site	[31.73, 35.13556]	987007475207805171	Betar (Extinct city) (West Bank)	ביתר (עיר קדומה) (יהודה ושומרון)					suppressed	89023	ביתר (עיר קדומה) (יהודה ושומרון)	Betar (Extinct city) (West Bank)	Q637954	0.0	
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 81810 ""טולכרם (יהודה ושומרון : תת-מחוז)"" and B as 73472 ""טולכרם (יהודה ושומרון)""; NLI's flat Hebrew ""טולכרם (יהודה ושומרון)"" only needs to stay a variant of A"	טולכרם (יהודה ושומרון : תת-מחוז)	טולכרם (יהודה ושומרון)	True	"81810 ""טולכרם (יהודה ושומרון : תת-מחוז)"""	987007567331105171	dup-places-diff	both-live	טולכרם (יהודה ושומרון)	טולכרם (יהודה ושומרון)	Tulkarem (Sub-District) (West Bank)	טולכרם (יהודה ושומרון)	Q5283479	Tulkarm Subdistrict, Mandatory Palestine	נפת טולכרם	subdistrict of Mandatory Palestine	[32.31153, 35.02704]	987007564918505171	Tulkarem (West Bank)	טולכרם (יהודה ושומרון)	Q985531	Tulkarm	big city / Municipality of Palestine type A	[32.31111, 35.03083]	live	73472	טולכרם (יהודה ושומרון)	Tulkarem (West Bank)	Q985531	0.4	
pseudo-disambiguated-in-kima	disambiguate-hebrew-tier	high	"Kima holds both (A=20163 ""סובאלק (פולין, מחוז)"", B=20569 ""סובאלק (פולין : מחוז)"") but the headings differ only in spelling/punctuation — still ambiguous"	סובאלק (פולין, מחוז)	סובאלק (פולין : מחוז)	True	"20163 ""סובאלק (פולין, מחוז)"""	987007487056105171	dup-places-diff	both-live	סובאלק (פולין : מחוז)	סובאלק (פולין : מחוז)	Suwałki (Poland : Powiat)	סובאלק (פולין : מחוז)	Q1135363	Suwałki County		powiat	[54.28513, 22.92913]	987007496663905171	Suvalkskai︠a︡ gubernīi︠a︡ (Poland)	פלך סובאלק (פולין)					live	20569	סובאלק (פולין : מחוז)	Suvalkskai︠a︡ gubernīi︠a︡ (Poland)	Q236083	22.4	
